1617981933.929456,10.10.1.100:44922,,,10,
1617981934.028459,10.10.1.100:44928,,,10,
1617981934.030164,10.10.1.100:44924,,,15,
1617981934.031579,10.10.1.100:44926,,,10,
1617981934.130920,10.10.1.100:44928,,,10,
1617981934.132754,10.10.1.100:44924,,,20,
1617981934.134209,10.10.1.100:44926,,,14,
1617981934.222285,10.10.1.100:44928,0,1,12,
1617981934.223330,10.10.1.100:44924,,,20,
1617981934.224263,10.10.1.100:44926,,,20,
1617981934.278546,10.10.1.100:44928,0,1,18,
1617981934.279254,10.10.1.100:44924,,,20,
1617981934.279863,10.10.1.100:44926,,,20,
1617981934.332775,10.10.1.100:44928,0,1,20,
1617981934.333723,10.10.1.100:44924,,,23,
1617981934.334347,10.10.1.100:44926,,,20,
1617981934.392535,10.10.1.100:44928,0,1,21,
1617981934.394796,10.10.1.100:44924,,,26,
1617981934.396473,10.10.1.100:44926,,,20,
1617981934.500130,10.10.1.100:44928,0,1,21,
1617981934.502115,10.10.1.100:44924,,,32,
1617981934.504093,10.10.1.100:44926,,,21,
1617981934.606316,10.10.1.100:44928,0,1,21,
1617981934.608430,10.10.1.100:44924,,,40,
1617981934.610328,10.10.1.100:44926,,,22,
1617981934.714442,10.10.1.100:44928,0,1,21,
1617981934.716288,10.10.1.100:44924,,,40,
1617981934.718032,10.10.1.100:44926,,,29,
1617981934.817492,10.10.1.100:44928,0,1,21,
1617981934.819363,10.10.1.100:44924,,,41,
1617981934.821106,10.10.1.100:44926,,,37,
1617981934.882626,10.10.1.100:44928,0,1,26,
1617981934.883743,10.10.1.100:44924,,,41,
1617981934.884789,10.10.1.100:44926,,,40,
1617981934.940438,10.10.1.100:44928,0,1,31,
1617981934.941427,10.10.1.100:44924,,,41,
1617981934.942335,10.10.1.100:44926,,,40,
1617981935.015585,10.10.1.100:44928,0,1,36,
1617981935.017895,10.10.1.100:44924,,,41,
1617981935.019891,10.10.1.100:44926,,,40,
1617981935.121100,10.10.1.100:44928,0,1,40,
1617981935.123139,10.10.1.100:44924,,,45,
1617981935.125236,10.10.1.100:44926,,,40,
1617981935.224246,10.10.1.100:44928,0,1,40,
1617981935.226152,10.10.1.100:44924,,,52,
1617981935.227816,10.10.1.100:44926,,,40,
1617981935.326992,10.10.1.100:44928,0,1,42,
1617981935.328928,10.10.1.100:44924,2,2,47,26
1617981935.330878,10.10.1.100:44926,,,42,
1617981935.386735,10.10.1.100:44928,0,1,42,
1617981935.387724,10.10.1.100:44924,6,6,35,26
1617981935.388641,10.10.1.100:44926,,,42,
1617981935.442614,10.10.1.100:44928,0,1,42,
1617981935.443650,10.10.1.100:44924,7,7,35,26
1617981935.444573,10.10.1.100:44926,2,2,39,21
1617981935.502648,10.10.1.100:44928,0,1,42,
1617981935.503688,10.10.1.100:44924,7,7,35,26
1617981935.504663,10.10.1.100:44926,4,4,34,21
1617981935.560430,10.10.1.100:44928,0,1,42,
1617981935.561803,10.10.1.100:44924,7,7,35,26
1617981935.562972,10.10.1.100:44926,6,6,25,21
1617981935.618322,10.10.1.100:44928,0,1,42,
1617981935.618760,10.10.1.100:44924,7,7,35,26
1617981935.618834,10.10.1.100:44926,9,9,20,21
1617981935.979500,10.10.1.100:44928,8,9,26,23
1617981935.981334,10.10.1.100:44924,10,10,25,26
1617981935.983047,10.10.1.100:44926,10,10,20,21
1617981936.083815,10.10.1.100:44928,10,11,22,23
1617981936.085041,10.10.1.100:44924,16,16,19,26
1617981936.086032,10.10.1.100:44926,11,11,16,21
1617981936.141242,10.10.1.100:44928,10,11,22,23
1617981936.142300,10.10.1.100:44924,22,27,26,26
1617981936.143318,10.10.1.100:44926,12,12,15,21
1617981936.197833,10.10.1.100:44928,10,11,22,23
1617981936.198853,10.10.1.100:44924,20,27,26,26
1617981936.199847,10.10.1.100:44926,20,21,21,21
1617981936.288913,10.10.1.100:44928,10,11,22,23
1617981936.291025,10.10.1.100:44924,20,27,26,26
1617981936.293141,10.10.1.100:44926,16,21,21,21
1617981936.399290,10.10.1.100:44928,14,15,20,23
1617981936.405538,10.10.1.100:44924,20,27,26,26
1617981936.407335,10.10.1.100:44926,11,21,21,21
1617981936.491391,10.10.1.100:44928,15,21,23,23
1617981936.492475,10.10.1.100:44924,20,27,26,26
1617981936.493500,10.10.1.100:44926,11,21,21,21
1617981936.549644,10.10.1.100:44928,12,21,23,23
1617981936.550805,10.10.1.100:44924,18,27,26,26
1617981936.551780,10.10.1.100:44926,11,21,21,21
1617981936.645099,10.10.1.100:44928,12,21,23,23
1617981936.646925,10.10.1.100:44924,12,27,26,26
1617981936.648621,10.10.1.100:44926,11,21,21,21
1617981936.742188,10.10.1.100:44928,10,21,23,23
1617981936.744061,10.10.1.100:44924,8,27,26,26
1617981936.745785,10.10.1.100:44926,9,21,21,21
1617981936.847424,10.10.1.100:44928,10,21,23,23
1617981936.849267,10.10.1.100:44924,1,27,26,26
1617981936.850945,10.10.1.100:44926,9,21,21,21
1617981936.951370,10.10.1.100:44928,10,21,23,23
1617981936.953216,10.10.1.100:44924,0,27,26,26
